state_n,state_n_plus_1,state_n_plus_2,empirical_P_c_given_ab,first_order_P_c_given_b,delta,abs_delta,support_count_ab
7,1,3,0.1051792828685259,0.10884865416644281,-0.003669371297916904,0.003669371297916904,2510
2,1,6,0.14770459081836326,0.14403911244828882,0.003665478370074443,0.003665478370074443,2505
7,7,1,0.13850129198966407,0.13484474051788975,0.003656551471774322,0.003656551471774322,1935
7,0,2,0.09373919059149083,0.09734608359299451,-0.003606893001503686,0.003606893001503686,2891
5,3,1,0.10269058295964126,0.10626981142212433,-0.0035792284624830695,0.0035792284624830695,2230
2,2,1,0.13105676049838486,0.13458335571912106,-0.0035265952207362006,0.0035265952207362006,2167
2,5,1,0.1255868544600939,0.12910331488744425,-0.0035164604273503486,0.0035164604273503486,2556
0,3,7,0.12588736393752958,0.12238757857411486,0.0034997853634147202,0.0034997853634147202,2113
6,7,3,0.12218045112781954,0.11872783926077146,0.0034526118670480804,0.0034526118670480804,2128
3,4,7,0.1232876712328767,0.1267393757051523,-0.0034517044722756074,0.0034517044722756074,2847
6,5,3,0.1232409381663113,0.11980873582979638,0.0034322023365149223,0.0034322023365149223,2345
4,0,7,0.1544773457010346,0.15789190931556893,-0.0034145636145343217,0.0034145636145343217,2803
5,6,3,0.1313220940550133,0.12792134529629828,0.0034007487587150165,0.0034007487587150165,2254
6,5,5,0.11556503198294243,0.11894912158169021,-0.0033840895987477804,0.0033840895987477804,2345
7,3,5,0.11221719457013575,0.1155643904797722,-0.0033471959096364468,0.0033471959096364468,2210
5,5,7,0.1111111111111111,0.11443614677913286,-0.003325035668021753,0.003325035668021753,2214
2,3,6,0.12559502013914317,0.12888841132541773,-0.003293391186274558,0.003293391186274558,2731
5,4,1,0.11304684475416182,0.10976199430505561,0.0032848504491062164,0.0032848504491062164,2583
3,2,7,0.12925416364952932,0.12598721323805942,0.0032669504114699044,0.0032669504114699044,2762
2,7,6,0.11641791044776119,0.11319436982916084,0.0032235406186003485,0.0032235406186003485,2345
0,7,2,0.12997618237495748,0.13312560438379714,-0.003149422008839664,0.003149422008839664,2939
6,4,6,0.11424404472532815,0.11110514156772149,0.0031389031576066623,0.0031389031576066623,2057
0,1,4,0.1133954384837777,0.11029925321012196,0.0030961852736557383,0.0030961852736557383,3113
3,1,2,0.12992922143579372,0.13302530489442863,-0.0030960834586349073,0.0030960834586349073,1978
1,5,6,0.11800968736239542,0.12109815720195562,-0.0030884698395601956,0.0030884698395601956,2271
6,5,2,0.13901918976545843,0.1360339547628002,0.0029852350026582375,0.0029852350026582375,2345
5,7,4,0.12582159624413145,0.1287203180401848,-0.002898721796053355,0.002898721796053355,2130
6,3,6,0.12599748005039899,0.12888841132541773,-0.0028909312750187433,0.0028909312750187433,2381
4,1,0,0.17131669114047968,0.17417933702251115,-0.0028626458820314726,0.0028626458820314726,2043
4,7,0,0.15811784654514624,0.15531320511443,0.002804641430716237,0.002804641430716237,2359
2,4,7,0.12394225983076157,0.1267393757051523,-0.002797115874390743,0.002797115874390743,2009
7,6,6,0.11627906976744186,0.11905657336270349,-0.0027775035952616323,0.0027775035952616323,2107
3,3,7,0.11967833491012299,0.12238757857411486,-0.0027092436639918754,0.0027092436639918754,2114
6,1,2,0.135706340378198,0.13302530489442863,0.002681035483769384,0.002681035483769384,2697
4,7,7,0.1013141161509114,0.10395401310841303,-0.0026398969575016223,0.0026398969575016223,2359
3,3,0,0.10927152317880795,0.11191102992532101,-0.0026395067465130595,0.0026395067465130595,2114
4,1,3,0.10621634850709741,0.10884865416644281,-0.002632305659345399,0.002632305659345399,2043
6,7,0,0.15272556390977443,0.15531320511443,-0.002587641204655572,0.002587641204655572,2128
4,4,5,0.1453698913605794,0.14280341696663623,0.002566474393943169,0.002566474393943169,1933
5,7,7,0.10140845070422536,0.10395401310841303,-0.0025455624041876707,0.0025455624041876707,2130
1,7,5,0.1096,0.11211990974535296,-0.0025199097453529606,0.0025199097453529606,2500
7,4,1,0.11227045075125208,0.10976199430505561,0.002508456446196475,0.002508456446196475,2396
6,7,2,0.13063909774436092,0.13312560438379714,-0.0024865066394362256,0.0024865066394362256,2128
3,1,4,0.11274014155712841,0.11029925321012196,0.0024408883470064535,0.0024408883470064535,1978
2,3,5,0.11314536799707067,0.1155643904797722,-0.0024190224827015244,0.0024190224827015244,2731
4,0,1,0.16482340349625402,0.16723971204469754,-0.0024163085484435187,0.0024163085484435187,2803
5,7,3,0.12112676056338029,0.11872783926077146,0.002398921302608825,0.002398921302608825,2130
4,4,3,0.14847387480600102,0.1508623005426315,-0.0023884257366304784,0.0023884257366304784,1933
6,3,2,0.1507769844603108,0.14839090957932627,0.0023860748809845234,0.0023860748809845234,2381
0,3,3,0.1159488878371983,0.1135765325310267,0.0023723553061715946,0.0023723553061715946,2113
6,7,1,0.1325187969924812,0.13484474051788975,-0.002325943525408547,0.002325943525408547,2128
0,5,5,0.11668811668811668,0.11894912158169021,-0.0022610048935735316,0.0022610048935735316,2331
0,1,3,0.10664953421137166,0.10884865416644281,-0.0021991199550711465,0.0021991199550711465,3113
6,6,5,0.12815884476534295,0.12598721323805942,0.0021716315272835296,0.0021716315272835296,2216
2,6,3,0.12575818843509906,0.12792134529629828,-0.0021631568611992225,0.0021631568611992225,2473
7,1,5,0.1199203187250996,0.12201149734056842,-0.002091178615468814,0.002091178615468814,2510
5,4,2,0.10220673635307782,0.10428195347337882,-0.0020752171203009956,0.0020752171203009956,2583
6,4,1,0.1118133203694701,0.10976199430505561,0.0020513260644144937,0.0020513260644144937,2057
3,6,4,0.11254689453939141,0.1105141567721485,0.0020327377672429148,0.0020327377672429148,2399
7,7,3,0.11679586563307494,0.11872783926077146,-0.0019319736276965233,0.0019319736276965233,1935
1,1,3,0.11070381231671554,0.10884865416644281,0.0018551581502727343,0.0018551581502727343,1364
5,4,4,0.10569105691056911,0.10385214634932574,0.0018389105612433704,0.0018389105612433704,2583
